,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.126,0.976,1.072,0.752,2.436,0.579,3.396,0.503,2.714,0.499,3.195,0.537
1,1,0.331,0.911,1.381,0.682,2.579,0.556,3.336,0.52,3.349,0.489,3.325,0.512
2,2,0.547,0.84,1.468,0.661,2.405,0.554,3.917,0.503,3.148,0.508,3.407,0.516
3,3,1.607,0.607,2.357,0.499,2.913,0.481,4.115,0.472,3.569,0.398,3.78,0.495
4,4,6.718,0.104,6.738,0.106,5.025,0.325,6.909,0.144,6.485,0.078,6.934,0.157
5,5,7.869,0.035,7.695,0.037,5.247,0.306,7.832,0.028,7.535,0.026,7.631,0.031
