,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.033,0.998,1.393,0.74,1.869,0.653,2.695,0.459,1.17,0.699,2.69,0.476
1,1,0.026,0.997,1.132,0.786,1.675,0.681,2.678,0.53,1.27,0.679,2.076,0.619
2,2,0.058,0.989,1.346,0.738,1.853,0.662,2.079,0.635,1.186,0.757,1.469,0.698
3,3,0.107,0.985,1.299,0.73,1.994,0.642,1.215,0.782,1.052,0.756,1.461,0.756
4,4,0.235,0.951,1.448,0.697,2.027,0.631,1.402,0.74,1.219,0.642,1.441,0.737
5,5,0.391,0.916,1.585,0.639,2.202,0.576,1.484,0.712,1.571,0.549,1.496,0.715
6,6,0.595,0.879,1.704,0.591,2.386,0.535,1.735,0.662,1.708,0.542,1.805,0.637
7,7,0.769,0.837,1.746,0.559,2.419,0.512,1.737,0.641,1.906,0.503,1.684,0.631
8,8,1.026,0.779,1.714,0.579,2.365,0.527,1.795,0.606,1.83,0.494,1.637,0.632
9,9,1.678,0.575,2.28,0.433,2.862,0.41,2.099,0.523,2.544,0.45,2.067,0.513
10,10,2.925,0.377,3.452,0.304,3.758,0.321,3.38,0.34,3.31,0.266,3.412,0.358
11,11,6.495,0.138,6.569,0.124,5.851,0.165,6.569,0.124,6.569,0.124,6.569,0.124
