,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.656,0.615,0.962,0.558,1.004,0.561,1.708,0.515,1.053,0.523,0.986,0.521,1.053,0.523,1.101,0.529
1,1,0.783,0.601,1.037,0.552,1.048,0.557,1.783,0.509,1.042,0.531,1.024,0.521,1.511,0.498,1.197,0.543
2,2,0.405,0.9,1.801,0.535,1.862,0.53,2.254,0.502,1.583,0.509,1.663,0.533,1.718,0.465,1.463,0.533
3,3,0.527,0.803,1.409,0.553,1.401,0.55,2.071,0.49,1.234,0.52,1.346,0.536,1.67,0.486,1.107,0.555
4,4,0.537,0.79,1.212,0.566,1.257,0.569,1.954,0.514,1.2,0.533,1.274,0.516,1.304,0.541,1.208,0.554
5,5,0.493,0.831,1.337,0.564,1.346,0.559,1.989,0.49,1.451,0.528,1.643,0.528,1.157,0.545,1.268,0.533
6,6,0.561,0.808,1.289,0.554,1.304,0.562,1.949,0.512,1.218,0.552,1.267,0.535,1.113,0.562,1.306,0.566
7,7,0.597,0.814,1.333,0.562,1.412,0.559,2.024,0.497,1.343,0.533,1.388,0.526,1.385,0.536,1.33,0.546
8,8,1.0,0.608,1.191,0.566,1.27,0.566,1.786,0.509,1.107,0.559,1.277,0.521,1.112,0.539,1.307,0.566
9,9,1.67,0.57,1.84,0.519,1.94,0.504,2.174,0.476,1.633,0.516,1.561,0.511,1.258,0.5,1.856,0.528
10,10,2.117,0.535,2.114,0.536,2.202,0.523,2.345,0.488,1.996,0.531,1.872,0.528,1.24,0.512,2.049,0.533
11,11,2.609,0.515,2.56,0.52,2.641,0.512,2.681,0.476,2.641,0.512,2.641,0.512,2.641,0.512,2.641,0.512
