,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.614,0.625,0.972,0.551,0.967,0.557,1.715,0.521,1.104,0.519,1.105,0.511,1.14,0.519,1.099,0.531
1,1,0.717,0.605,0.981,0.553,1.022,0.551,1.724,0.521,1.105,0.531,0.965,0.527,1.421,0.525,1.101,0.534
2,2,0.31,0.917,1.684,0.56,1.673,0.548,2.221,0.494,1.555,0.513,1.766,0.521,1.643,0.481,1.443,0.529
3,3,0.44,0.844,1.402,0.54,1.389,0.561,2.027,0.503,1.184,0.525,1.456,0.51,1.483,0.527,1.354,0.535
4,4,0.449,0.828,1.199,0.571,1.203,0.58,1.911,0.514,1.103,0.548,1.627,0.488,1.607,0.527,1.33,0.544
5,5,0.421,0.851,1.298,0.585,1.362,0.575,1.989,0.511,1.304,0.554,1.705,0.511,1.567,0.52,1.22,0.568
6,6,0.349,0.892,1.312,0.593,1.395,0.578,1.968,0.51,1.38,0.561,1.331,0.529,1.465,0.547,1.421,0.551
7,7,0.789,0.697,1.218,0.571,1.317,0.557,1.916,0.516,1.224,0.545,1.164,0.508,1.373,0.537,1.409,0.557
8,8,0.929,0.605,1.122,0.559,1.202,0.559,1.777,0.517,1.127,0.549,1.244,0.517,1.165,0.54,1.369,0.535
9,9,1.662,0.567,1.82,0.536,1.936,0.514,2.221,0.483,1.538,0.513,1.599,0.503,1.207,0.497,1.824,0.524
10,10,2.122,0.539,2.129,0.534,2.216,0.524,2.37,0.49,2.008,0.529,1.989,0.52,1.24,0.527,2.096,0.528
11,11,2.609,0.515,2.56,0.52,2.641,0.512,2.681,0.476,2.641,0.512,2.641,0.512,2.641,0.512,2.641,0.512
