,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,0.108,0.989,0.58,0.9,0.197,0.956,0.067,0.985,0.05,0.989
1,1,0.138,0.985,0.668,0.887,0.176,0.959,0.055,0.986,0.081,0.984
2,2,0.909,0.869,1.848,0.734,0.926,0.816,0.259,0.95,0.182,0.958
3,3,1.028,0.845,1.794,0.747,0.907,0.825,0.351,0.934,0.213,0.954
