,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,1,0.06,0.987,0.779,0.901,0.732,0.9,3.742,0.631,1.259,0.851,1.54,0.577,1.857,0.81
1,2,0.043,0.993,0.786,0.911,0.679,0.919,2.83,0.735,0.653,0.928,1.403,0.635,1.604,0.841
2,3,0.083,0.985,1.374,0.857,1.448,0.843,1.966,0.804,1.986,0.789,1.93,0.543,3.193,0.714
3,4,5.763,0.541,7.403,0.413,7.316,0.42,5.645,0.415,5.654,0.513,2.237,0.488,6.563,0.424
