,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.035,0.996,1.345,0.733,1.928,0.633,2.583,0.472,0.854,0.707,2.342,0.539
1,1,0.036,0.996,1.442,0.743,2.083,0.625,3.507,0.452,1.016,0.749,3.258,0.473
2,2,0.125,0.979,1.536,0.7,2.159,0.607,2.558,0.572,1.074,0.722,2.571,0.563
3,3,0.168,0.973,1.555,0.7,2.099,0.635,1.406,0.749,0.999,0.772,1.519,0.732
4,4,0.282,0.934,1.71,0.648,2.253,0.584,1.155,0.745,1.639,0.525,1.768,0.683
5,5,0.463,0.884,1.868,0.574,2.224,0.558,1.469,0.716,1.599,0.552,1.503,0.707
6,6,0.689,0.848,2.061,0.523,2.429,0.513,1.672,0.644,1.814,0.523,1.725,0.672
7,7,0.846,0.806,2.123,0.525,2.505,0.498,1.757,0.615,2.226,0.47,1.636,0.608
8,8,1.092,0.75,1.989,0.542,2.411,0.503,1.708,0.6,2.062,0.45,1.701,0.561
9,9,1.82,0.56,2.591,0.408,2.82,0.411,2.348,0.391,2.732,0.363,2.226,0.504
10,10,2.902,0.356,3.374,0.286,3.527,0.298,3.401,0.293,3.124,0.317,3.234,0.399
11,11,6.321,0.148,6.574,0.133,5.689,0.167,6.574,0.133,6.574,0.133,6.574,0.133
