,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.349,0.917,1.104,0.698,1.425,0.619,2.245,0.399,2.789,0.272,2.436,0.354
1,1,0.22,0.952,0.844,0.765,1.085,0.696,1.703,0.536,2.71,0.28,1.717,0.524
2,2,0.292,0.932,1.008,0.723,1.348,0.641,1.361,0.609,2.182,0.404,1.695,0.537
3,3,0.246,0.942,1.008,0.699,1.349,0.641,1.267,0.626,1.593,0.531,1.167,0.661
4,4,0.479,0.889,1.05,0.711,1.308,0.652,0.931,0.742,1.676,0.535,1.202,0.678
5,5,0.645,0.845,1.127,0.692,1.451,0.613,0.888,0.753,1.35,0.626,0.866,0.76
6,6,0.821,0.786,1.444,0.581,1.769,0.51,1.526,0.561,1.583,0.539,1.199,0.642
7,7,1.52,0.499,1.963,0.362,2.2,0.299,1.973,0.331,2.092,0.319,1.862,0.34
8,8,1.714,0.434,2.074,0.321,2.251,0.296,1.875,0.337,2.531,0.203,1.856,0.352
9,9,2.301,0.321,2.515,0.272,2.508,0.271,2.469,0.275,2.92,0.162,2.491,0.263
10,10,3.483,0.124,3.554,0.103,3.478,0.125,3.554,0.103,3.554,0.103,3.554,0.103
11,11,3.483,0.124,3.554,0.103,3.478,0.125,3.554,0.103,3.554,0.103,3.554,0.103
