,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.177,0.977,1.774,0.704,2.466,0.607,3.905,0.385,0.992,0.681,4.08,0.376
1,1,0.113,0.987,1.469,0.747,2.387,0.607,4.261,0.358,1.088,0.662,3.569,0.436
2,2,0.042,0.995,1.014,0.818,1.961,0.682,3.16,0.511,1.276,0.624,3.339,0.498
3,3,0.112,0.987,1.216,0.795,2.112,0.684,3.066,0.53,2.14,0.489,2.205,0.649
4,4,0.207,0.969,1.311,0.741,2.183,0.621,1.524,0.688,2.064,0.477,1.652,0.682
5,5,0.59,0.895,1.384,0.75,2.179,0.65,1.087,0.814,2.754,0.429,1.174,0.772
6,6,0.825,0.866,1.471,0.713,2.271,0.597,1.121,0.796,4.216,0.145,1.125,0.775
7,7,0.951,0.823,1.618,0.661,2.3,0.575,1.408,0.731,4.924,0.066,1.232,0.726
8,8,2.079,0.61,2.304,0.509,2.758,0.462,2.253,0.437,4.563,0.078,1.917,0.59
9,9,4.156,0.117,4.316,0.095,4.377,0.131,3.532,0.143,4.822,0.065,3.554,0.161
10,10,6.57,0.025,6.616,0.039,6.256,0.081,5.986,0.051,5.565,0.038,5.942,0.04
11,11,8.441,0.022,8.339,0.031,7.661,0.08,8.339,0.031,8.339,0.031,8.339,0.031
