,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.009,0.997,0.332,0.923,0.713,0.848,1.804,0.598,0.521,0.833,0.896,0.578,1.352,0.732
1,1,0.004,0.999,0.416,0.923,0.835,0.856,3.048,0.542,2.262,0.647,0.855,0.603,1.245,0.788
2,2,0.029,0.992,0.928,0.819,1.975,0.672,2.21,0.611,2.431,0.647,1.212,0.482,3.27,0.533
3,3,0.44,0.868,2.32,0.573,4.107,0.401,3.107,0.514,4.021,0.419,1.475,0.459,3.908,0.43
4,4,4.576,0.254,5.647,0.198,7.05,0.144,3.357,0.347,3.832,0.325,2.053,0.373,3.809,0.346
5,5,6.031,0.135,6.539,0.131,7.831,0.111,4.854,0.255,5.859,0.188,3.602,0.417,5.054,0.229
6,6,6.775,0.092,7.158,0.077,8.069,0.091,5.634,0.145,6.448,0.092,3.281,0.224,5.822,0.142
7,7,7.336,0.043,7.676,0.037,8.236,0.053,4.701,0.163,5.622,0.083,3.059,0.261,4.78,0.137
8,8,7.471,0.049,7.749,0.043,8.081,0.062,6.083,0.054,6.584,0.039,4.126,0.081,5.835,0.065
9,9,8.311,0.042,8.479,0.035,8.602,0.062,7.181,0.045,7.954,0.032,5.712,0.046,6.767,0.042
10,10,9.131,0.031,9.171,0.027,9.104,0.059,8.57,0.025,9.165,0.017,7.258,0.032,8.592,0.025
11,11,11.214,0.019,11.055,0.014,10.633,0.05,11.055,0.014,11.055,0.014,11.055,0.014,11.055,0.014
