,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.544,0.762,1.351,0.512,1.361,0.503,1.433,0.493,1.746,0.498,1.313,0.505,2.251,0.492,1.67,0.501
1,1,0.792,0.743,2.177,0.502,2.134,0.525,2.289,0.489,2.686,0.5,2.081,0.5,2.146,0.5,2.664,0.5
2,2,0.666,0.779,1.918,0.503,1.911,0.508,2.155,0.499,2.827,0.501,2.494,0.502,1.958,0.5,2.838,0.501
3,3,0.631,0.79,2.643,0.486,2.651,0.484,2.99,0.465,4.917,0.5,2.798,0.548,2.344,0.5,4.603,0.505
4,4,0.791,0.759,3.026,0.464,3.009,0.458,3.399,0.418,5.715,0.499,3.022,0.564,2.164,0.488,5.793,0.502
5,5,1.037,0.736,3.378,0.437,3.269,0.439,3.826,0.405,3.254,0.524,2.832,0.525,2.511,0.49,4.267,0.531
6,6,4.108,0.328,6.192,0.194,6.234,0.187,6.792,0.168,3.359,0.333,2.893,0.409,2.5,0.489,3.336,0.369
7,7,5.642,0.139,6.785,0.104,6.84,0.095,7.551,0.088,2.845,0.406,3.516,0.317,2.7,0.446,3.44,0.373
8,8,5.512,0.121,6.648,0.085,6.613,0.076,7.23,0.068,5.254,0.115,6.623,0.063,3.537,0.227,4.867,0.15
9,9,4.046,0.242,4.941,0.169,4.906,0.168,5.428,0.162,4.906,0.077,6.403,0.045,1.958,0.306,3.943,0.148
10,10,5.221,0.166,5.765,0.148,5.774,0.138,5.862,0.135,4.068,0.231,4.999,0.089,2.56,0.408,3.032,0.35
11,11,12.708,0.001,12.63,0.0,12.672,0.0,12.358,0.003,12.671,0.0,12.671,0.0,12.669,0.0,12.675,0.0
