,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.352,0.854,1.005,0.621,1.025,0.608,1.021,0.603,2.4,0.5,1.868,0.511,2.745,0.5,2.016,0.503
1,1,0.375,0.856,1.609,0.586,1.619,0.583,1.544,0.598,3.577,0.5,3.29,0.5,2.795,0.5,3.034,0.505
2,2,0.126,0.957,0.958,0.739,0.986,0.735,0.961,0.734,4.407,0.5,4.075,0.503,2.91,0.5,3.464,0.514
3,3,0.012,0.997,0.734,0.845,0.717,0.851,0.78,0.834,3.907,0.537,1.288,0.732,2.605,0.5,2.473,0.666
4,4,0.022,0.994,1.351,0.767,1.34,0.759,1.361,0.766,4.192,0.54,1.475,0.752,2.739,0.512,3.061,0.615
5,5,0.021,0.995,1.411,0.758,1.444,0.742,1.368,0.76,2.0,0.673,1.825,0.672,2.399,0.477,2.183,0.689
6,6,3.351,0.378,6.107,0.22,6.127,0.211,6.144,0.225,4.344,0.334,4.419,0.349,2.73,0.461,4.422,0.337
7,7,5.875,0.138,7.522,0.083,7.406,0.087,7.424,0.093,3.721,0.277,4.816,0.155,3.817,0.367,4.721,0.246
8,8,5.659,0.132,6.881,0.099,6.768,0.102,6.858,0.093,6.248,0.089,7.511,0.06,4.997,0.127,5.386,0.157
9,9,4.137,0.257,5.087,0.184,5.036,0.193,4.985,0.173,6.105,0.073,7.229,0.045,3.621,0.269,3.935,0.2
10,10,5.695,0.162,6.161,0.135,6.104,0.146,6.063,0.137,7.323,0.035,6.294,0.129,6.276,0.04,6.036,0.084
11,11,13.177,0.0,13.054,0.001,13.018,0.003,13.033,0.003,13.022,0.003,13.004,0.003,13.029,0.003,13.017,0.003
