,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.648,0.927,4.844,0.511,4.873,0.506,4.737,0.513,2.921,0.545,2.031,0.655,2.267,0.5,3.713,0.494
1,1,0.019,0.999,1.563,0.809,1.454,0.818,1.444,0.826,2.641,0.678,2.555,0.711,2.851,0.489,2.693,0.677
2,2,0.012,0.999,0.637,0.916,0.571,0.921,0.55,0.925,2.893,0.676,1.343,0.826,3.01,0.498,2.416,0.741
3,3,0.018,0.999,0.655,0.905,0.667,0.905,0.579,0.916,4.565,0.567,4.601,0.559,3.211,0.499,4.126,0.566
4,4,0.025,0.998,1.009,0.863,0.954,0.867,0.944,0.868,4.954,0.557,5.466,0.49,3.212,0.463,3.83,0.615
5,5,1.969,0.836,4.008,0.596,4.01,0.583,4.023,0.588,4.887,0.553,5.123,0.506,2.971,0.482,4.954,0.547
6,6,2.569,0.742,4.579,0.497,4.807,0.484,4.688,0.486,4.885,0.521,4.699,0.511,3.38,0.416,4.46,0.539
7,7,4.197,0.575,5.2,0.472,5.209,0.462,5.118,0.471,5.364,0.453,4.375,0.455,4.429,0.263,5.031,0.449
8,8,4.742,0.534,5.098,0.503,5.036,0.516,5.004,0.516,5.12,0.5,3.408,0.491,6.552,0.1,4.849,0.475
9,9,6.447,0.443,6.244,0.414,6.309,0.405,6.235,0.411,6.059,0.42,4.543,0.381,7.452,0.046,5.946,0.433
10,10,8.264,0.042,8.091,0.043,8.188,0.049,8.097,0.051,7.841,0.03,6.72,0.12,10.265,0.018,7.654,0.057
11,11,12.901,0.0,12.386,0.016,12.43,0.018,12.345,0.021,12.43,0.018,12.43,0.018,12.43,0.018,12.43,0.018
