,model_id,Variable,batch_size,lr,seed,target_layer,operation,mask_init,model dir,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max,same vanilla acc,same ablated acc,same random ablate acc mean,same random ablate acc std,different vanilla acc,different ablated acc,different random ablate acc mean,different random ablate acc std,different-color vanilla acc,different-color ablated acc,different-color random ablate acc mean,different-color random ablate acc std,different-shape vanilla acc,different-shape ablated acc,different-shape random ablate acc mean,different-shape random ablate acc std,different-texture vanilla acc,different-texture ablated acc,different-texture random ablate acc mean,different-texture random ablate acc std
0,5dfbf8f8-b7ff-4fa7-9196-cb1e4c4e9afd,s,500,0.001,0,0,attn,0.0,./Model/Random_ViT/Shape/,2.2613946199417114,2.2083510160446167,0.5916164658634538,0.053463855421686746,0.5735,0.092,0.32429718875502006,0.3055,299847.0,2359296,0.884,1.0,0.3846,0.1700512863814914,0.813,0.0,0.8635999999999999,0.09903050035216424,0.5449275362318841,0.0,0.712463768115942,0.12999474889625623,0.48695652173913045,0.0,0.7472463768115942,0.08713797493095798,0.38413361169102295,0.0,0.7770354906054281,0.15111361903280604
1,331da678-7e56-42a3-8bfd-36c9bf9a24f6,s,500,0.001,0,0,mlp,0.0,./Model/Random_ViT/Shape/,2.7673566937446594,2.6748523712158203,0.1267570281124498,0.053463855421686746,0.145,0.092,0.10843373493975904,0.0955,1413.0,4718592,0.884,0.868,0.8836,0.007683749084919425,0.813,0.823,0.8131999999999999,0.0049558046773455,0.5449275362318841,0.5768115942028985,0.5455072463768116,0.01436465123868273,0.48695652173913045,0.48695652173913045,0.48057971014492756,0.008867860023639632,0.38413361169102295,0.4112734864300626,0.38705636743215033,0.01242828899051125
2,2c9455f4-1ba3-453d-9099-1d708d10d23e,s,500,0.001,0,1,attn,0.0,./Model/Random_ViT/Shape/,2.274457812309265,2.217821955680847,0.6395582329317269,0.053463855421686746,0.6195,0.092,0.3009538152610442,0.294,316339.0,2359296,0.884,1.0,0.8608,0.10667033327031467,0.813,0.102,0.6654,0.08722063975917625,0.5449275362318841,0.008695652173913044,0.4411594202898551,0.07534893972655757,0.48695652173913045,0.017391304347826087,0.5066666666666666,0.09697634164093441,0.38413361169102295,0.0,0.28308977035490607,0.1414000897519619
3,5081fea8-763d-41e3-aa6e-e2d7c2613714,s,500,0.001,0,1,mlp,0.0,./Model/Random_ViT/Shape/,2.6368051767349243,2.560902714729309,0.23970883534136547,0.053463855421686746,0.2255,0.092,0.2103413654618474,0.201,105029.0,4718592,0.884,0.998,0.8832000000000001,0.01276557871778637,0.813,0.42,0.807,0.012649110640673476,0.5449275362318841,0.26956521739130435,0.5431884057971015,0.02890423388363573,0.48695652173913045,0.14492753623188406,0.4747826086956522,0.02133144289040475,0.38413361169102295,0.081419624217119,0.4,0.025893998720189812
4,15336794-4d2c-4603-b6f3-cedb898c4232,s,500,0.001,0,2,attn,0.0,./Model/Random_ViT/Shape/,2.2537137269973755,2.1952149868011475,0.5414156626506024,0.053463855421686746,0.5275,0.092,0.3017068273092369,0.293,394707.0,2359296,0.884,1.0,0.9940000000000001,0.0038470768123342724,0.813,0.157,0.4182,0.06937838280040837,0.5449275362318841,0.014492753623188406,0.2371014492753623,0.07810827850876374,0.48695652173913045,0.028985507246376812,0.16405797101449276,0.046071458518969335,0.38413361169102295,0.0,0.08308977035490606,0.030778985376170548
5,69749818-563d-4527-afb8-04621b6f9a69,s,500,0.001,0,2,mlp,0.0,./Model/Random_ViT/Shape/,2.7276651263237,2.6351864337921143,0.25727911646586343,0.053463855421686746,0.2745,0.092,0.24623493975903615,0.2415,188899.0,4718592,0.884,1.0,0.893,0.06285220759846066,0.813,0.231,0.784,0.07001428425685717,0.5449275362318841,0.05507246376811594,0.5339130434782609,0.0738624436064049,0.48695652173913045,0.03188405797101449,0.4446376811594203,0.09067600678381901,0.38413361169102295,0.0041753653444676405,0.35824634655532356,0.09258207722909502
6,bcd6ef21-c66f-4d4b-8ad5-5771e43a63f2,s,500,0.001,0,3,attn,0.0,./Model/Random_ViT/Shape/,2.2653058767318726,2.2119228839874268,0.5740461847389559,0.053463855421686746,0.5685,0.092,0.3142570281124498,0.326,389295.0,2359296,0.884,0.056,0.9746,0.00793977329651169,0.813,0.994,0.5948,0.026003076741032007,0.5449275362318841,0.9884057971014493,0.37333333333333335,0.030422357712236368,0.48695652173913045,0.9971014492753624,0.28347826086956524,0.026336966241392583,0.38413361169102295,0.9916492693110647,0.1753653444676409,0.017366709263536884
7,461ffa63-ed4e-423f-b554-ded06a3abda3,s,500,0.001,0,3,mlp,0.0,./Model/Random_ViT/Shape/,2.6823719143867493,2.597158432006836,0.33634538152610444,0.053463855421686746,0.372,0.092,0.27710843373493976,0.2665,298091.0,4718592,0.884,1.0,0.85,0.042623936936890296,0.813,0.162,0.8309999999999998,0.02936664774876423,0.5449275362318841,0.014492753623188406,0.5814492753623188,0.052673932482785166,0.48695652173913045,0.011594202898550725,0.5124637681159421,0.0466441569620671,0.38413361169102295,0.0,0.4254697286012526,0.05455846221462875
8,b6831aab-b8c2-4b24-bdc4-ff897d9f1ffa,s,500,0.001,0,4,attn,0.0,./Model/Random_ViT/Shape/,2.2508168816566467,2.1950734853744507,0.5763052208835341,0.053463855421686746,0.5655,0.092,0.3165160642570281,0.3075,421564.0,2359296,0.884,0.999,0.9122,0.02766514052015641,0.813,0.326,0.7124,0.0314807877919216,0.5449275362318841,0.16231884057971013,0.4747826086956522,0.027029665453622665,0.48695652173913045,0.1072463768115942,0.43710144927536226,0.041658537329209704,0.38413361169102295,0.04175365344467641,0.2659707724425887,0.04873923121088197
9,e51e314d-3144-46ce-9128-1db0235e08bd,s,500,0.001,0,4,mlp,0.0,./Model/Random_ViT/Shape/,2.6797086000442505,2.5977320671081543,0.3546686746987952,0.053463855421686746,0.3805,0.092,0.2723393574297189,0.2685,365561.0,4718592,0.884,0.977,0.9332,0.025372425977820866,0.813,0.537,0.75,0.03570994259306502,0.5449275362318841,0.36231884057971014,0.48985507246376814,0.01608630368175258,0.48695652173913045,0.24347826086956523,0.41217391304347817,0.042773024337847465,0.38413361169102295,0.13569937369519833,0.3035490605427975,0.04062353686498636
