,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.682,0.346,3.024,0.306,3.1,0.29,3.137,0.324,3.183,0.363,2.938,0.324
1,1,3.322,0.31,3.56,0.28,3.66,0.279,3.607,0.272,3.43,0.328,3.473,0.289
2,2,3.629,0.297,3.767,0.283,3.892,0.266,3.76,0.25,3.593,0.316,3.711,0.264
3,3,3.947,0.263,3.964,0.267,4.109,0.243,3.982,0.229,3.887,0.278,3.946,0.234
4,4,4.329,0.181,4.229,0.196,4.413,0.188,4.264,0.201,4.163,0.237,4.191,0.204
5,5,4.444,0.164,4.321,0.167,4.507,0.163,4.226,0.197,4.245,0.198,4.27,0.179
