,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,0.046,0.993,0.615,0.888,3.701,0.339,1.451,0.724,1.283,0.756
1,1,0.008,0.999,0.126,0.976,2.464,0.556,1.267,0.763,0.5,0.909
2,2,0.024,0.996,0.175,0.964,1.248,0.766,0.331,0.94,0.15,0.971
3,3,2.351,0.606,3.636,0.382,4.869,0.17,5.18,0.122,4.695,0.202
