,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.025,0.993,0.674,0.837,1.308,0.732,3.659,0.502,1.414,0.607,0.937,0.539,2.858,0.588
1,1,0.006,0.999,0.543,0.888,1.035,0.813,5.411,0.501,1.665,0.671,0.95,0.524,2.507,0.676
2,2,0.005,0.999,0.428,0.91,1.178,0.79,4.607,0.525,2.068,0.688,1.066,0.522,3.142,0.592
3,3,0.054,0.984,0.708,0.851,1.757,0.701,4.208,0.504,2.128,0.622,1.183,0.481,3.978,0.502
4,4,3.199,0.474,4.143,0.39,5.304,0.305,4.808,0.249,4.075,0.329,2.513,0.446,5.102,0.26
5,5,4.401,0.333,4.924,0.289,5.983,0.255,5.18,0.237,4.434,0.221,3.373,0.467,5.379,0.241
6,6,4.698,0.277,5.166,0.254,5.949,0.238,5.3,0.187,4.295,0.166,3.927,0.409,5.302,0.182
7,7,5.284,0.214,5.655,0.208,6.101,0.234,5.906,0.138,4.827,0.135,4.913,0.295,5.809,0.143
8,8,5.824,0.154,6.036,0.162,6.264,0.217,5.068,0.161,5.649,0.131,3.266,0.162,4.601,0.154
9,9,6.698,0.117,6.78,0.13,6.681,0.211,6.191,0.128,6.887,0.105,4.655,0.102,5.975,0.128
10,10,7.661,0.086,7.632,0.091,7.209,0.198,7.339,0.076,8.235,0.082,6.152,0.086,7.411,0.085
11,11,10.016,0.041,9.784,0.048,8.753,0.171,9.784,0.048,9.784,0.048,9.784,0.048,9.784,0.048
