,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.066,0.776,3.317,0.5,3.371,0.495,3.37,0.488,3.007,0.462,2.105,0.537,0.966,0.524,2.792,0.485
1,1,1.078,0.816,3.631,0.508,3.611,0.507,3.642,0.505,3.087,0.491,2.207,0.614,1.132,0.509,3.356,0.476
2,2,0.546,0.899,3.605,0.51,3.555,0.501,3.434,0.525,3.055,0.571,3.188,0.607,1.323,0.515,2.203,0.675
3,3,0.666,0.878,3.481,0.531,3.421,0.524,3.308,0.548,2.813,0.607,4.61,0.489,1.84,0.508,2.933,0.63
4,4,1.97,0.749,3.91,0.504,3.855,0.531,3.768,0.526,3.029,0.595,3.823,0.542,1.929,0.491,3.408,0.589
5,5,3.405,0.569,4.085,0.501,4.073,0.506,4.114,0.503,4.008,0.518,3.315,0.501,2.983,0.451,3.914,0.508
6,6,3.593,0.49,4.283,0.426,4.257,0.417,4.377,0.416,3.964,0.507,3.138,0.53,5.38,0.124,3.22,0.523
7,7,3.789,0.456,4.234,0.403,4.268,0.404,4.398,0.399,3.976,0.446,3.408,0.463,6.199,0.043,3.578,0.395
8,8,3.982,0.51,4.264,0.419,4.184,0.414,4.337,0.407,4.465,0.434,3.574,0.431,8.085,0.03,4.17,0.453
9,9,5.484,0.111,5.739,0.108,5.718,0.102,5.853,0.09,5.636,0.137,4.491,0.233,7.935,0.025,5.276,0.198
10,10,7.281,0.005,7.229,0.032,7.247,0.031,7.334,0.022,6.991,0.03,5.886,0.069,8.543,0.022,6.66,0.035
11,11,10.701,0.0,10.154,0.025,10.209,0.022,10.273,0.018,10.209,0.022,10.209,0.022,10.209,0.022,10.209,0.022
