,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.99,0.789,3.39,0.508,3.261,0.516,3.274,0.513,3.143,0.495,2.018,0.546,0.912,0.548,2.899,0.501
1,1,0.121,0.974,1.172,0.807,0.98,0.834,1.2,0.808,3.165,0.579,1.523,0.747,1.075,0.51,1.028,0.823
2,2,0.028,0.996,0.528,0.918,0.476,0.928,0.604,0.908,2.453,0.677,3.007,0.625,1.42,0.515,1.395,0.803
3,3,0.032,0.996,0.554,0.916,0.428,0.936,0.546,0.915,2.897,0.612,4.75,0.486,2.071,0.488,2.92,0.633
4,4,0.236,0.962,1.372,0.799,1.27,0.805,1.349,0.799,2.66,0.627,4.377,0.491,2.056,0.498,2.956,0.605
5,5,3.066,0.574,4.026,0.486,3.948,0.493,4.004,0.485,3.71,0.544,3.828,0.519,2.822,0.458,3.626,0.522
6,6,3.564,0.482,4.287,0.424,4.209,0.425,4.29,0.424,3.828,0.511,3.426,0.528,5.75,0.127,3.394,0.515
7,7,3.603,0.486,4.029,0.421,4.001,0.434,4.119,0.414,3.924,0.457,3.611,0.454,5.585,0.052,3.406,0.424
8,8,3.781,0.471,4.061,0.387,4.014,0.398,4.171,0.384,4.092,0.401,3.501,0.442,7.179,0.034,3.909,0.439
9,9,5.247,0.103,5.55,0.111,5.533,0.106,5.696,0.098,5.54,0.122,4.748,0.165,8.078,0.02,5.126,0.204
10,10,7.255,0.005,7.231,0.029,7.202,0.028,7.328,0.024,7.071,0.034,5.544,0.074,8.289,0.022,6.816,0.033
11,11,10.701,0.0,10.154,0.025,10.209,0.022,10.273,0.018,10.209,0.022,10.209,0.022,10.209,0.022,10.209,0.022
