,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.768,0.347,2.426,0.413,2.367,0.413,2.398,0.411,2.498,0.39,2.524,0.376,2.54,0.403,2.553,0.393
1,1,2.922,0.31,2.563,0.383,2.477,0.393,2.539,0.376,2.475,0.386,2.336,0.389,2.663,0.385,2.465,0.39
2,2,2.933,0.307,2.569,0.38,2.477,0.395,2.541,0.377,2.476,0.39,2.378,0.39,2.719,0.385,2.464,0.389
3,3,2.942,0.308,2.584,0.376,2.492,0.388,2.547,0.374,2.637,0.384,2.464,0.383,2.813,0.383,2.513,0.384
4,4,2.959,0.308,2.595,0.376,2.501,0.392,2.563,0.376,2.538,0.388,2.447,0.389,2.713,0.385,2.499,0.388
5,5,2.957,0.31,2.592,0.378,2.504,0.39,2.558,0.379,2.621,0.385,2.549,0.388,2.636,0.385,2.582,0.386
6,6,2.956,0.312,2.59,0.377,2.501,0.391,2.554,0.38,2.602,0.388,2.598,0.385,2.539,0.389,2.559,0.386
7,7,2.943,0.316,2.58,0.382,2.49,0.395,2.543,0.382,2.593,0.385,2.591,0.383,2.557,0.388,2.568,0.39
8,8,2.919,0.319,2.557,0.384,2.471,0.399,2.518,0.387,2.566,0.388,2.587,0.385,2.524,0.389,2.558,0.39
9,9,2.914,0.321,2.551,0.386,2.466,0.4,2.514,0.388,2.574,0.389,2.565,0.388,2.563,0.39,2.569,0.389
10,10,2.951,0.315,2.59,0.384,2.5,0.395,2.554,0.384,2.572,0.388,2.57,0.386,2.546,0.389,2.574,0.386
11,11,3.023,0.306,2.661,0.374,2.562,0.389,2.627,0.373,2.562,0.389,2.562,0.389,2.562,0.389,2.562,0.389
