,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.043,0.995,3.003,0.629,3.122,0.617,2.554,0.562,1.937,0.644,3.116,0.497,3.78,0.517
1,1,0.0,1.0,0.923,0.87,1.055,0.843,2.355,0.669,0.839,0.849,3.18,0.497,3.026,0.651
2,2,0.0,1.0,0.658,0.902,0.711,0.894,2.734,0.671,1.324,0.836,3.746,0.5,2.413,0.739
3,3,0.0,1.0,0.735,0.887,0.713,0.892,4.157,0.536,2.454,0.719,4.714,0.477,3.097,0.657
4,4,0.407,0.956,3.166,0.56,3.181,0.557,5.796,0.405,4.57,0.436,5.004,0.497,5.895,0.316
5,5,3.138,0.574,5.388,0.293,5.552,0.289,6.96,0.275,4.455,0.378,5.342,0.497,5.007,0.36
6,6,2.539,0.488,4.366,0.266,4.388,0.275,5.618,0.282,3.867,0.348,8.472,0.133,3.526,0.422
7,7,2.348,0.441,3.646,0.297,3.548,0.312,5.963,0.207,5.118,0.289,10.067,0.034,3.212,0.429
8,8,4.09,0.221,5.034,0.166,5.112,0.162,8.469,0.061,5.618,0.227,10.676,0.021,5.489,0.172
9,9,6.745,0.008,7.603,0.014,7.684,0.011,8.262,0.013,9.169,0.012,8.99,0.012,7.103,0.013
10,10,10.11,0.007,10.362,0.014,10.405,0.011,10.213,0.013,10.552,0.014,9.473,0.016,9.958,0.013
11,11,11.875,0.006,11.754,0.013,11.784,0.011,11.754,0.013,11.754,0.013,11.754,0.013,11.754,0.013
