,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.238375,0.231,0.24575
1,1,0.485125,0.5875,0.238,0.2335,0.2425
2,2,0.67125,0.750875,0.155125,0.1865,0.12375
3,3,0.795875,0.910625,0.124875,0.16525,0.0845
4,4,0.935375,0.97525,0.1465,0.173,0.12
5,5,0.948875,0.980375,0.181875,0.19625,0.1675
6,6,0.9385,0.983125,0.219875,0.22575,0.214
7,7,0.933125,0.98075,0.228,0.23,0.226
8,8,0.952125,0.9865,0.232125,0.23475,0.2295
9,9,0.931125,0.985875,0.23825,0.2385,0.238
10,10,0.9435,0.98725,0.239625,0.2405,0.23875
11,11,0.94625,0.982875,0.24,0.24,0.24
