,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.434,0.573,2.924,0.486,2.968,0.479,3.001,0.472,2.169,0.526,1.518,0.686,2.236,0.44,1.97,0.6
1,1,1.845,0.67,2.782,0.508,2.739,0.512,2.72,0.517,1.933,0.577,2.238,0.601,1.79,0.513,1.979,0.629
2,2,2.24,0.617,2.905,0.496,2.966,0.484,2.905,0.495,3.048,0.451,2.058,0.623,2.774,0.435,2.686,0.527
3,3,2.912,0.498,3.616,0.37,3.638,0.371,3.559,0.385,3.357,0.411,2.764,0.502,3.21,0.422,3.164,0.451
4,4,3.945,0.266,4.167,0.242,4.218,0.233,4.203,0.233,2.705,0.403,2.568,0.448,2.051,0.354,3.215,0.372
5,5,4.385,0.2,4.553,0.169,4.64,0.16,4.597,0.162,4.066,0.216,3.783,0.232,2.932,0.411,4.229,0.209
6,6,5.392,0.082,5.399,0.074,5.395,0.077,5.402,0.076,5.431,0.074,5.511,0.047,4.112,0.249,5.381,0.079
7,7,5.633,0.044,5.576,0.053,5.598,0.047,5.58,0.049,5.622,0.045,5.514,0.043,5.432,0.068,5.596,0.048
8,8,5.58,0.045,5.538,0.052,5.57,0.045,5.55,0.046,5.538,0.042,5.351,0.054,5.398,0.063,5.576,0.046
9,9,5.567,0.032,5.472,0.047,5.537,0.044,5.513,0.04,5.365,0.046,4.818,0.046,5.606,0.043,5.38,0.044
10,10,5.76,0.029,5.649,0.045,5.667,0.042,5.666,0.038,5.667,0.042,5.667,0.042,5.667,0.042,5.667,0.042
11,11,5.76,0.029,5.649,0.045,5.667,0.042,5.666,0.038,5.667,0.042,5.667,0.042,5.667,0.042,5.667,0.042
