,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.43,0.912,1.138,0.778,1.207,0.766,1.128,0.773,2.532,0.517,1.462,0.7,2.134,0.525,2.296,0.574
1,1,0.111,0.977,0.674,0.867,0.644,0.869,0.617,0.876,2.257,0.585,0.904,0.822,2.237,0.53,0.939,0.82
2,2,0.377,0.927,1.226,0.757,1.232,0.761,1.255,0.757,2.829,0.482,1.975,0.62,2.788,0.469,2.348,0.57
3,3,2.396,0.565,3.178,0.428,3.092,0.436,3.114,0.438,3.134,0.415,2.699,0.456,3.434,0.381,3.075,0.44
4,4,3.429,0.344,3.842,0.288,3.821,0.284,3.781,0.292,3.067,0.361,2.403,0.472,2.75,0.273,3.211,0.354
5,5,4.148,0.249,4.411,0.209,4.415,0.206,4.33,0.216,4.077,0.245,4.23,0.243,2.604,0.432,4.37,0.213
6,6,5.42,0.07,5.377,0.077,5.371,0.07,5.404,0.068,5.418,0.06,5.578,0.048,4.042,0.227,5.446,0.059
7,7,5.625,0.042,5.522,0.055,5.563,0.049,5.534,0.052,5.564,0.043,5.617,0.041,4.984,0.067,5.556,0.045
8,8,5.612,0.043,5.494,0.057,5.545,0.05,5.517,0.052,5.524,0.041,5.629,0.044,5.038,0.051,5.544,0.043
9,9,5.58,0.041,5.456,0.058,5.485,0.053,5.47,0.054,5.488,0.048,5.648,0.043,3.899,0.108,5.489,0.045
10,10,5.76,0.029,5.649,0.045,5.667,0.042,5.666,0.038,5.667,0.042,5.667,0.042,5.667,0.042,5.667,0.042
11,11,5.76,0.029,5.649,0.045,5.667,0.042,5.666,0.038,5.667,0.042,5.667,0.042,5.667,0.042,5.667,0.042
