,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.579,0.627,0.991,0.545,0.986,0.555,1.66,0.502,1.024,0.53,1.142,0.519,1.085,0.523,1.111,0.529
1,1,0.725,0.614,1.018,0.551,1.034,0.556,1.703,0.508,1.067,0.524,0.845,0.52,1.535,0.536,1.203,0.537
2,2,0.426,0.876,1.631,0.546,1.688,0.536,2.165,0.5,1.533,0.497,1.569,0.542,1.398,0.502,1.23,0.553
3,3,0.49,0.79,1.241,0.539,1.282,0.557,1.828,0.522,1.197,0.521,1.138,0.516,1.684,0.505,1.204,0.535
4,4,0.456,0.819,1.186,0.549,1.167,0.549,1.809,0.516,1.104,0.534,1.353,0.526,1.341,0.545,1.098,0.563
5,5,0.461,0.842,1.283,0.564,1.251,0.574,1.852,0.514,1.202,0.583,1.358,0.524,1.23,0.552,1.207,0.574
6,6,0.573,0.785,1.214,0.583,1.219,0.587,1.868,0.518,1.067,0.591,1.063,0.562,1.23,0.581,1.253,0.587
7,7,0.739,0.767,1.43,0.574,1.391,0.572,1.984,0.516,1.333,0.581,1.694,0.54,1.018,0.585,1.291,0.595
8,8,1.098,0.619,1.329,0.557,1.292,0.569,1.865,0.512,1.224,0.558,1.021,0.558,0.861,0.571,1.289,0.58
9,9,1.906,0.578,2.006,0.564,2.004,0.552,2.202,0.523,1.679,0.559,1.628,0.548,1.345,0.48,1.878,0.563
10,10,2.179,0.537,2.143,0.541,2.14,0.546,2.321,0.514,2.009,0.55,2.142,0.543,0.965,0.532,2.062,0.553
11,11,2.7,0.515,2.634,0.528,2.608,0.532,2.657,0.499,2.608,0.532,2.608,0.532,2.608,0.532,2.608,0.532
