,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.565,0.645,0.974,0.548,1.006,0.542,1.68,0.511,1.04,0.532,1.033,0.546,1.083,0.512,1.132,0.529
1,1,0.696,0.617,0.989,0.555,0.993,0.559,1.749,0.511,1.002,0.519,1.111,0.514,1.448,0.524,1.08,0.542
2,2,0.254,0.925,1.561,0.578,1.59,0.569,2.183,0.496,1.462,0.504,1.609,0.573,1.424,0.494,1.458,0.521
3,3,0.38,0.847,1.242,0.583,1.318,0.571,1.952,0.514,1.287,0.521,1.692,0.529,1.287,0.519,1.227,0.539
4,4,0.392,0.838,1.181,0.58,1.226,0.576,1.899,0.502,1.258,0.546,1.581,0.552,1.394,0.497,1.215,0.575
5,5,0.25,0.928,1.303,0.599,1.229,0.622,1.956,0.52,1.147,0.613,1.615,0.536,1.583,0.508,1.266,0.572
6,6,0.36,0.874,1.166,0.637,1.225,0.613,1.904,0.535,1.212,0.593,1.841,0.529,1.827,0.469,1.263,0.587
7,7,0.566,0.807,1.16,0.6,1.209,0.593,1.86,0.527,1.404,0.563,1.487,0.55,1.028,0.561,1.292,0.602
8,8,0.883,0.666,1.173,0.587,1.196,0.594,1.794,0.543,1.418,0.574,1.417,0.564,0.975,0.532,1.449,0.596
9,9,1.788,0.608,1.929,0.565,1.94,0.567,2.149,0.538,1.685,0.585,1.706,0.543,1.143,0.505,1.749,0.582
10,10,2.14,0.535,2.113,0.543,2.122,0.548,2.314,0.516,1.994,0.553,2.141,0.546,0.969,0.551,1.956,0.552
11,11,2.7,0.515,2.634,0.528,2.608,0.532,2.657,0.499,2.608,0.532,2.608,0.532,2.608,0.532,2.608,0.532
