,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4945,0.602875,0.11525,0.147,0.0835
1,1,0.53975,0.68775,0.26775,0.41,0.1255
2,2,0.73825,0.862875,0.141625,0.21375,0.0695
3,3,0.835,0.940875,0.109,0.195,0.023
4,4,0.897125,0.982,0.017625,0.02975,0.0055
5,5,0.9775,0.99975,0.03225,0.04575,0.01875
6,6,0.988375,1.0,0.03675,0.042,0.0315
7,7,0.990125,1.0,0.032375,0.0335,0.03125
8,8,0.98725,1.0,0.0365,0.037,0.036
9,9,0.991875,1.0,0.0365,0.0365,0.0365
10,10,0.985625,0.999375,0.03625,0.03625,0.03625
11,11,0.98925,0.998625,0.0365,0.0365,0.0365
