,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4945,0.602875,0.04825,0.02975,0.06675
1,1,0.53975,0.68775,0.374875,0.484,0.26575
2,2,0.73825,0.862875,0.554,0.465,0.643
3,3,0.835,0.940875,0.85175,0.777,0.9265
4,4,0.897125,0.982,0.936875,0.91075,0.963
5,5,0.9775,0.99975,0.984125,0.97675,0.9915
6,6,0.988375,1.0,0.5375,0.59225,0.48275
7,7,0.990125,1.0,0.047125,0.0445,0.04975
8,8,0.98725,1.0,0.03775,0.03725,0.03825
9,9,0.991875,1.0,0.03625,0.03625,0.03625
10,10,0.985625,0.999375,0.0365,0.0365,0.0365
11,11,0.98925,0.998625,0.0365,0.0365,0.0365
