,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.465,0.574,2.84,0.507,2.903,0.494,2.911,0.495,2.871,0.441,1.883,0.627,3.188,0.371,2.856,0.47
1,1,2.072,0.635,2.729,0.518,2.804,0.505,2.877,0.49,1.931,0.569,1.616,0.697,2.125,0.441,2.052,0.62
2,2,2.787,0.499,2.925,0.479,2.937,0.476,2.942,0.474,2.656,0.486,2.567,0.512,1.891,0.464,2.646,0.49
3,3,3.182,0.466,3.349,0.431,3.304,0.441,3.321,0.437,2.998,0.495,2.98,0.5,2.909,0.482,3.001,0.497
4,4,4.116,0.29,4.295,0.254,4.15,0.281,4.248,0.265,3.175,0.465,2.998,0.497,3.017,0.491,3.192,0.46
5,5,5.093,0.117,5.137,0.108,5.198,0.098,5.21,0.095,4.716,0.153,4.003,0.266,4.407,0.206,4.605,0.178
6,6,5.847,0.013,5.795,0.017,5.777,0.021,5.751,0.026,5.785,0.021,5.627,0.023,5.834,0.015,5.809,0.017
7,7,5.85,0.011,5.783,0.019,5.769,0.023,5.785,0.024,5.685,0.029,5.834,0.018,5.181,0.072,5.712,0.026
8,8,5.833,0.016,5.767,0.022,5.743,0.026,5.765,0.026,5.737,0.026,5.859,0.013,4.465,0.135,5.777,0.02
9,9,5.774,0.015,5.655,0.029,5.652,0.034,5.668,0.034,5.466,0.047,5.883,0.013,4.117,0.091,5.706,0.021
10,10,5.977,0.004,5.895,0.013,5.893,0.012,5.87,0.018,5.893,0.012,5.893,0.012,5.893,0.012,5.893,0.012
11,11,5.977,0.004,5.895,0.013,5.893,0.012,5.87,0.018,5.893,0.012,5.893,0.012,5.893,0.012,5.893,0.012
