,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,13.867,0.075,14.675,0.033,14.849,0.033,14.83,0.033,14.003,0.073
1,1,14.88,0.022,14.794,0.023,14.822,0.022,14.752,0.027,14.692,0.026
2,2,15.357,0.0,15.311,0.0,15.247,0.0,15.263,0.0,15.233,0.0
3,3,15.399,0.0,15.348,0.0,15.278,0.0,15.302,0.0,15.326,0.0
