,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,4.436,0.071,4.515,0.072,4.282,0.108,4.491,0.069,4.474,0.07,4.542,0.07,4.511,0.07
1,1,4.364,0.064,4.435,0.064,4.2,0.101,4.29,0.071,4.233,0.072,4.312,0.071,4.275,0.069
2,2,4.367,0.068,4.431,0.07,4.192,0.104,4.322,0.072,4.322,0.072,4.253,0.071,4.294,0.072
3,3,4.389,0.07,4.457,0.071,4.217,0.105,4.4,0.071,4.392,0.071,4.304,0.071,4.33,0.071
4,4,4.411,0.07,4.476,0.071,4.237,0.107,4.439,0.071,4.434,0.071,4.364,0.071,4.374,0.071
5,5,4.421,0.07,4.485,0.071,4.247,0.107,4.451,0.071,4.447,0.071,4.391,0.071,4.385,0.071
6,6,4.431,0.07,4.495,0.071,4.257,0.107,4.459,0.071,4.461,0.071,4.414,0.071,4.42,0.071
7,7,4.439,0.07,4.504,0.071,4.267,0.107,4.481,0.071,4.481,0.071,4.443,0.071,4.448,0.071
8,8,4.452,0.07,4.515,0.071,4.28,0.107,4.494,0.071,4.494,0.071,4.473,0.071,4.481,0.071
9,9,4.458,0.07,4.521,0.071,4.286,0.107,4.507,0.071,4.506,0.071,4.494,0.071,4.5,0.071
10,10,4.465,0.07,4.527,0.071,4.294,0.107,4.516,0.071,4.518,0.071,4.517,0.071,4.514,0.071
11,11,4.475,0.07,4.537,0.071,4.305,0.107,4.537,0.071,4.537,0.071,4.537,0.071,4.537,0.071
