,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.318,0.944,2.107,0.754,2.07,0.755,6.013,0.498,3.85,0.588,1.567,0.515,4.23,0.593
1,1,0.033,0.995,0.628,0.917,0.608,0.92,4.732,0.573,1.845,0.795,1.039,0.585,2.109,0.799
2,2,0.041,0.992,0.73,0.911,0.658,0.923,4.15,0.654,0.723,0.928,1.359,0.637,2.082,0.828
3,3,0.132,0.977,1.366,0.851,1.404,0.851,3.321,0.705,1.388,0.852,1.967,0.586,2.198,0.794
4,4,6.309,0.512,7.383,0.434,7.42,0.432,5.869,0.466,5.466,0.504,2.1,0.491,6.393,0.46
5,5,8.194,0.344,8.832,0.312,9.014,0.293,6.58,0.502,6.525,0.481,4.481,0.4,6.729,0.484
6,6,8.444,0.197,9.193,0.167,9.45,0.153,8.059,0.288,5.812,0.341,10.022,0.067,7.761,0.279
7,7,9.353,0.074,9.935,0.067,9.78,0.066,8.35,0.162,7.785,0.134,11.538,0.011,7.56,0.192
8,8,10.638,0.011,10.957,0.008,10.779,0.01,10.652,0.018,9.243,0.022,10.491,0.017,10.139,0.025
9,9,12.201,0.01,12.38,0.006,12.433,0.014,12.542,0.009,12.933,0.004,9.345,0.03,12.206,0.011
10,10,13.659,0.005,13.695,0.004,13.646,0.007,13.443,0.003,14.262,0.003,12.384,0.016,13.741,0.003
11,11,14.894,0.005,14.815,0.003,14.754,0.006,14.815,0.003,14.815,0.003,14.815,0.003,14.815,0.003
