,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.443,0.906,4.248,0.493,4.284,0.494,4.359,0.492,2.617,0.527,1.986,0.565,2.368,0.476,2.974,0.511
1,1,0.362,0.942,4.072,0.476,4.067,0.469,4.792,0.445,3.336,0.528,1.763,0.648,3.338,0.494,3.873,0.519
2,2,0.194,0.975,3.381,0.499,3.311,0.498,4.851,0.416,4.345,0.515,2.4,0.65,4.036,0.5,4.871,0.509
3,3,0.35,0.952,3.502,0.459,3.599,0.455,4.726,0.399,3.41,0.569,1.651,0.688,3.971,0.5,4.829,0.513
4,4,0.75,0.865,3.79,0.401,3.636,0.414,4.619,0.367,3.538,0.502,3.517,0.519,4.27,0.497,4.29,0.51
5,5,3.543,0.541,5.6,0.305,5.501,0.328,6.067,0.269,4.493,0.411,3.084,0.484,4.443,0.5,4.132,0.43
6,6,5.666,0.275,7.295,0.133,7.247,0.143,8.019,0.119,5.16,0.29,4.399,0.369,4.404,0.489,4.612,0.334
7,7,7.245,0.075,8.147,0.042,8.154,0.038,8.731,0.037,6.252,0.111,6.136,0.167,5.457,0.31,5.751,0.151
8,8,8.044,0.005,8.904,0.002,8.715,0.002,9.186,0.01,7.907,0.011,5.995,0.006,8.792,0.014,7.04,0.009
9,9,9.459,0.001,10.052,0.0,9.899,0.001,10.182,0.015,10.005,0.001,10.242,0.0,9.121,0.001,9.637,0.001
10,10,11.109,0.001,11.182,0.0,11.127,0.0,10.865,0.013,10.572,0.0,11.322,0.0,8.832,0.001,10.471,0.0
11,11,12.187,0.001,12.183,0.0,12.15,0.0,11.583,0.013,12.15,0.0,12.15,0.0,12.15,0.0,12.15,0.0
