,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,3.017,0.062,2.961,0.075,3.018,0.039,2.848,0.078,2.923,0.06
1,1,3.178,0.015,3.122,0.025,3.105,0.035,3.11,0.032,3.107,0.033
2,2,3.176,0.016,3.125,0.025,3.097,0.038,3.098,0.037,3.096,0.035
3,3,3.177,0.016,3.124,0.026,3.109,0.032,3.11,0.031,3.109,0.032
