,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.855,0.73,1.37,0.541,2.086,0.304,2.171,0.276,1.656,0.433
1,1,0.178,0.952,0.508,0.828,1.489,0.505,1.541,0.46,1.312,0.583
2,2,0.885,0.719,1.446,0.506,1.855,0.379,1.769,0.391,1.497,0.513
3,3,1.681,0.483,2.029,0.365,1.903,0.394,1.845,0.407,1.929,0.394
