,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.50825,0.592,0.105875,0.1255,0.08625
1,1,0.527375,0.64775,0.250375,0.40675,0.094
2,2,0.708125,0.786625,0.15125,0.2175,0.085
3,3,0.817375,0.88775,0.032,0.04025,0.02375
4,4,0.923375,0.968375,0.041625,0.05125,0.032
5,5,0.987125,1.0,0.04,0.05275,0.02725
6,6,0.994,1.0,0.10225,0.118,0.0865
7,7,0.9925,0.999875,0.017125,0.0175,0.01675
8,8,0.99125,1.0,0.0175,0.01725,0.01775
9,9,0.991625,1.0,0.019,0.019,0.019
10,10,0.991,1.0,0.019125,0.01925,0.019
11,11,0.991875,1.0,0.019,0.019,0.019
