,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.50825,0.592,0.068375,0.0585,0.07825
1,1,0.527375,0.64775,0.32075,0.45525,0.18625
2,2,0.708125,0.786625,0.448,0.49425,0.40175
3,3,0.817375,0.88775,0.921125,0.90875,0.9335
4,4,0.923375,0.968375,0.89825,0.885,0.9115
5,5,0.987125,1.0,0.982875,0.9815,0.98425
6,6,0.994,1.0,0.776,0.81575,0.73625
7,7,0.9925,0.999875,0.0485,0.05375,0.04325
8,8,0.99125,1.0,0.022,0.022,0.022
9,9,0.991625,1.0,0.019375,0.01925,0.0195
10,10,0.991,1.0,0.019375,0.01925,0.0195
11,11,0.991875,1.0,0.019,0.019,0.019
