,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.622,0.843,1.403,0.626,1.476,0.615,2.259,0.394,2.696,0.3,2.071,0.449
1,1,0.417,0.899,1.207,0.677,1.199,0.679,1.987,0.475,2.48,0.354,1.916,0.488
2,2,0.655,0.84,1.381,0.64,1.418,0.625,1.666,0.558,2.423,0.37,1.594,0.576
3,3,0.699,0.829,1.313,0.656,1.432,0.615,1.226,0.678,2.711,0.301,1.244,0.668
4,4,0.848,0.785,1.367,0.635,1.464,0.61,1.125,0.704,2.446,0.361,1.183,0.684
5,5,0.898,0.764,1.403,0.617,1.479,0.605,1.107,0.71,1.867,0.471,1.033,0.714
6,6,1.249,0.632,1.785,0.481,1.843,0.465,1.505,0.562,2.005,0.356,1.28,0.631
7,7,1.526,0.402,1.941,0.306,1.913,0.323,1.964,0.297,2.463,0.319,1.665,0.36
8,8,1.723,0.272,2.032,0.227,1.967,0.23,1.983,0.24,2.392,0.074,1.94,0.293
9,9,2.28,0.239,2.476,0.198,2.488,0.213,2.335,0.202,3.628,0.088,2.211,0.217
10,10,2.515,0.191,2.618,0.173,2.632,0.174,2.293,0.21,3.511,0.068,2.652,0.143
11,11,3.705,0.084,3.793,0.062,3.73,0.077,3.793,0.062,3.793,0.062,3.793,0.062
