,layer,train_loss,train_acc,test_loss,test_acc,abstraction_loss,abstraction_acc
0,0,13,0.1,14,0.09,14,0.06
1,1,14,0.07,14,0.07,15,0.03
2,2,14,0.04,14,0.05,14,0.04
3,3,14,0.04,14,0.05,14,0.05
