,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.003,1.0,1.158,0.748,1.197,0.752,3.519,0.525,2.015,0.543,3.553,0.519
1,1,0.0,1.0,0.357,0.931,0.415,0.911,2.326,0.659,1.101,0.641,1.972,0.715
2,2,0.005,1.0,0.416,0.917,0.509,0.908,2.03,0.722,0.838,0.713,1.802,0.756
3,3,0.058,0.994,0.822,0.856,0.993,0.823,2.539,0.644,1.548,0.598,2.612,0.646
4,4,1.99,0.577,3.357,0.395,3.361,0.386,2.833,0.376,2.168,0.469,2.572,0.353
5,5,3.726,0.435,4.675,0.319,4.679,0.32,3.613,0.448,3.402,0.355,3.527,0.451
