,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.025,0.731,5.112,0.468,4.979,0.49,5.878,0.501,5.469,0.501,1.799,0.505,6.111,0.498
1,1,0.224,0.961,2.121,0.765,2.269,0.74,6.357,0.51,3.758,0.623,1.188,0.593,6.304,0.524
2,2,0.026,0.997,0.89,0.897,0.889,0.901,5.464,0.568,1.505,0.854,0.946,0.7,4.712,0.647
3,3,0.037,0.993,0.691,0.907,0.683,0.912,4.809,0.615,1.38,0.87,1.979,0.62,3.48,0.694
4,4,1.264,0.835,3.743,0.607,3.86,0.601,5.898,0.484,6.705,0.505,2.587,0.474,7.06,0.402
5,5,9.744,0.268,10.09,0.249,10.154,0.237,9.416,0.28,7.539,0.401,5.076,0.467,9.669,0.284
6,6,9.498,0.154,9.947,0.133,10.271,0.129,7.502,0.213,5.609,0.326,7.261,0.273,8.238,0.217
7,7,10.916,0.088,11.047,0.077,11.242,0.079,10.03,0.142,6.762,0.151,8.616,0.139,9.238,0.178
8,8,11.407,0.015,11.371,0.017,11.49,0.018,10.91,0.024,12.349,0.009,7.067,0.076,10.533,0.019
9,9,13.617,0.004,13.576,0.005,13.595,0.007,13.408,0.004,13.859,0.004,11.935,0.004,13.575,0.005
