,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.24,0.685,4.996,0.475,4.987,0.496,5.025,0.481,5.53,0.501,4.949,0.51,1.34,0.525,5.238,0.499
1,1,2.325,0.688,5.146,0.482,4.961,0.498,5.197,0.473,5.502,0.5,5.114,0.503,1.845,0.479,5.449,0.505
2,2,2.799,0.666,5.448,0.476,5.393,0.49,5.478,0.478,6.269,0.5,4.735,0.561,1.683,0.516,6.005,0.525
3,3,4.598,0.574,6.181,0.474,6.171,0.484,6.24,0.473,6.612,0.499,5.271,0.559,1.664,0.523,6.047,0.522
4,4,6.175,0.504,7.063,0.451,7.009,0.455,7.059,0.441,5.629,0.464,4.92,0.509,1.841,0.548,5.767,0.476
5,5,7.85,0.351,8.937,0.276,9.15,0.267,8.998,0.272,7.657,0.384,6.223,0.482,4.547,0.335,6.698,0.46
6,6,7.244,0.2,8.69,0.143,8.643,0.14,8.709,0.128,7.564,0.255,5.907,0.257,10.782,0.011,6.786,0.26
7,7,8.855,0.042,9.45,0.029,9.568,0.03,9.571,0.026,9.065,0.089,7.761,0.057,11.852,0.009,7.399,0.117
8,8,9.998,0.024,10.524,0.016,10.479,0.021,10.398,0.019,11.311,0.013,7.807,0.044,12.136,0.007,9.154,0.034
9,9,11.443,0.006,11.805,0.005,11.729,0.008,11.711,0.011,11.43,0.01,12.715,0.007,11.7,0.006,10.909,0.009
10,10,13.164,0.004,13.181,0.004,13.14,0.006,13.145,0.007,13.097,0.006,13.708,0.006,11.541,0.005,12.908,0.006
11,11,14.891,0.004,14.806,0.004,14.772,0.006,14.731,0.007,14.772,0.006,14.772,0.006,14.772,0.006,14.772,0.006
