,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.421,0.932,2.659,0.697,2.668,0.706,2.499,0.703,5.711,0.502,3.209,0.608,1.152,0.514,3.379,0.631
1,1,0.049,0.99,0.849,0.887,0.789,0.895,0.836,0.89,5.184,0.53,0.944,0.846,1.36,0.475,2.499,0.741
2,2,0.059,0.992,0.759,0.913,0.658,0.918,0.748,0.913,4.21,0.634,0.81,0.919,1.399,0.566,2.379,0.801
3,3,0.147,0.981,1.525,0.838,1.345,0.853,1.517,0.845,3.036,0.716,1.963,0.793,1.816,0.523,2.05,0.802
4,4,5.604,0.535,7.238,0.424,7.104,0.437,7.139,0.422,5.548,0.429,4.927,0.499,2.097,0.503,6.405,0.411
5,5,7.63,0.362,8.817,0.281,8.697,0.289,8.96,0.259,7.82,0.376,6.566,0.449,4.539,0.317,7.313,0.381
6,6,8.104,0.181,9.147,0.139,9.098,0.136,9.281,0.124,7.593,0.228,6.16,0.332,11.129,0.017,6.573,0.274
7,7,8.928,0.105,9.533,0.09,9.454,0.099,9.686,0.088,10.666,0.024,10.138,0.069,11.901,0.008,8.775,0.063
8,8,9.949,0.025,10.415,0.015,10.346,0.021,10.335,0.021,10.625,0.018,8.959,0.052,12.765,0.006,9.197,0.039
9,9,11.265,0.005,11.718,0.004,11.448,0.007,11.646,0.011,11.1,0.006,12.521,0.006,12.127,0.006,10.987,0.007
10,10,13.12,0.004,13.178,0.004,13.088,0.006,13.165,0.007,13.129,0.006,13.962,0.006,11.286,0.008,13.082,0.006
11,11,14.891,0.004,14.806,0.004,14.772,0.006,14.731,0.007,14.772,0.006,14.772,0.006,14.772,0.006,14.772,0.006
