,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.051,0.994,3.299,0.605,3.398,0.585,2.869,0.557,1.851,0.657,2.861,0.498,3.647,0.547
1,1,0.0,1.0,0.929,0.863,1.0,0.849,2.303,0.682,0.869,0.842,3.084,0.498,3.161,0.638
2,2,0.0,1.0,0.673,0.899,0.627,0.909,2.482,0.693,1.209,0.84,3.609,0.498,2.257,0.745
3,3,0.0,1.0,0.78,0.881,0.734,0.889,3.295,0.616,2.364,0.727,4.607,0.498,2.649,0.693
4,4,0.304,0.964,3.162,0.562,3.225,0.553,5.287,0.421,4.223,0.466,4.881,0.498,5.237,0.387
5,5,2.986,0.566,5.285,0.283,5.389,0.288,6.263,0.32,4.254,0.442,5.389,0.498,4.941,0.352
6,6,2.503,0.461,4.44,0.258,4.456,0.254,7.004,0.199,4.818,0.265,8.534,0.126,4.981,0.271
7,7,2.438,0.428,3.736,0.295,3.654,0.302,5.747,0.233,5.1,0.308,10.081,0.029,3.399,0.415
8,8,4.096,0.174,5.166,0.153,5.183,0.143,7.273,0.095,5.778,0.168,10.405,0.022,5.185,0.183
9,9,6.702,0.011,7.752,0.014,7.73,0.014,8.621,0.012,9.403,0.012,9.324,0.012,7.691,0.012
10,10,10.15,0.007,10.43,0.014,10.461,0.01,10.229,0.017,10.411,0.014,9.481,0.017,10.099,0.015
11,11,11.875,0.006,11.751,0.013,11.784,0.011,11.751,0.013,11.751,0.013,11.751,0.013,11.751,0.013
