,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.859,0.81,1.683,0.629,1.669,0.632,1.652,0.634,1.843,0.532,1.736,0.593,2.099,0.466,1.817,0.573
1,1,0.157,0.964,0.764,0.824,0.732,0.837,0.703,0.84,1.456,0.645,2.402,0.49,2.191,0.5,1.084,0.75
2,2,0.222,0.955,0.955,0.781,0.908,0.794,0.92,0.789,1.834,0.592,2.474,0.476,2.299,0.51,1.563,0.666
3,3,0.938,0.808,2.078,0.556,2.064,0.562,2.107,0.552,2.043,0.564,2.42,0.488,2.486,0.473,2.149,0.549
4,4,1.373,0.719,2.089,0.561,2.209,0.536,2.091,0.566,2.248,0.528,2.361,0.498,2.547,0.465,2.466,0.485
