,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.105,0.974,2.032,0.713,2.117,0.697,2.64,0.667,4.499,0.502,4.206,0.509,1.617,0.484,4.832,0.501
1,1,0.038,0.991,1.017,0.852,0.866,0.864,1.588,0.79,4.996,0.505,1.814,0.71,1.619,0.459,4.775,0.525
2,2,0.004,0.999,0.529,0.931,0.496,0.935,0.935,0.885,5.167,0.523,1.287,0.808,1.858,0.516,3.863,0.636
3,3,0.001,1.0,0.429,0.941,0.458,0.937,1.032,0.878,3.886,0.62,1.24,0.838,2.526,0.469,2.323,0.761
4,4,0.475,0.913,2.503,0.684,2.76,0.677,4.63,0.506,5.841,0.402,6.085,0.482,2.572,0.488,6.063,0.393
5,5,6.994,0.301,7.818,0.262,8.025,0.244,9.723,0.198,6.761,0.284,6.227,0.345,4.874,0.418,6.556,0.307
6,6,6.943,0.162,7.693,0.122,7.768,0.118,10.634,0.066,7.926,0.102,8.696,0.099,9.796,0.024,7.283,0.116
7,7,8.009,0.092,8.521,0.07,8.476,0.074,10.531,0.07,9.473,0.032,8.503,0.029,12.558,0.004,8.243,0.046
8,8,8.346,0.029,8.811,0.025,8.802,0.021,10.452,0.05,9.642,0.012,8.538,0.028,12.392,0.003,8.464,0.018
9,9,10.294,0.007,10.391,0.005,10.586,0.005,11.387,0.031,11.94,0.003,11.145,0.004,12.442,0.003,11.121,0.003
10,10,11.955,0.002,12.042,0.003,12.043,0.003,12.166,0.029,12.112,0.003,12.62,0.002,12.731,0.002,12.084,0.002
11,11,14.802,0.002,14.759,0.002,14.72,0.003,13.942,0.028,14.72,0.003,14.72,0.003,14.72,0.003,14.72,0.003
