,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4975,0.578375,0.2395,0.19075,0.28825
1,1,0.540875,0.62575,0.552875,0.51,0.59575
2,2,0.67375,0.7815,0.642375,0.63575,0.649
3,3,0.769875,0.837125,0.62375,0.65475,0.59275
4,4,0.87025,0.927375,0.720875,0.6985,0.74325
5,5,0.95625,0.983375,0.92425,0.93475,0.91375
6,6,0.980875,0.998875,0.964,0.972,0.956
7,7,0.993125,1.0,0.7745,0.82,0.729
8,8,0.99475,1.0,0.01925,0.01925,0.01925
9,9,0.993875,1.0,0.015125,0.01475,0.0155
10,10,0.986375,0.999,0.013875,0.01375,0.014
11,11,0.995,1.0,0.0135,0.0135,0.0135
