,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.4975,0.578375,0.470125,0.576,0.36425
1,1,0.540875,0.62575,0.4825,0.446,0.519
2,2,0.67375,0.7815,0.3005,0.3595,0.2415
3,3,0.769875,0.837125,0.298875,0.3335,0.26425
4,4,0.87025,0.927375,0.229,0.3,0.158
5,5,0.95625,0.983375,0.0445,0.04675,0.04225
6,6,0.980875,0.998875,0.021875,0.0225,0.02125
7,7,0.993125,1.0,0.017625,0.01825,0.017
8,8,0.99475,1.0,0.01175,0.012,0.0115
9,9,0.99375,1.0,0.01325,0.01325,0.01325
10,10,0.99375,1.0,0.0135,0.01375,0.01325
11,11,0.9945,1.0,0.0135,0.0135,0.0135
