,layer,Raw Image Sim,Image Sig
0,0,,0.0
1,1,0.042030213541198715,1.0
2,2,0.03768895329178116,1.0
3,3,0.02760559074293203,1.0
4,4,0.010209115875797783,1.0
5,5,-0.007515809466262023,0.4
6,6,-0.013617253081427905,0.0
7,7,-0.018029369620452856,0.0
8,8,-0.0185245255308981,0.1
9,9,-0.02080851699826732,0.0
10,10,-0.019610054298321446,0.0
11,11,-0.018736365683105886,0.0
12,12,-0.01705747073984778,0.0
