,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.067,0.989,2.888,0.454,2.707,0.475,4.099,0.494,1.923,0.529,4.307,0.492
1,1,0.001,1.0,0.95,0.806,0.816,0.824,4.342,0.508,1.211,0.627,4.135,0.528
2,2,0.0,1.0,0.29,0.94,0.28,0.939,3.409,0.59,0.989,0.697,2.817,0.654
3,3,0.0,1.0,0.306,0.934,0.313,0.928,2.822,0.641,1.348,0.623,2.673,0.663
4,4,0.045,0.995,1.416,0.731,1.365,0.742,4.167,0.445,2.176,0.443,4.085,0.492
5,5,3.027,0.486,4.36,0.299,4.426,0.281,4.935,0.274,3.241,0.445,4.42,0.281
