,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.156,0.835,4.389,0.525,4.365,0.524,5.879,0.508,5.485,0.508,1.216,0.523,5.975,0.506
1,1,0.097,0.979,1.696,0.796,1.617,0.807,6.199,0.514,3.293,0.646,1.161,0.534,6.054,0.532
2,2,0.027,0.996,0.833,0.904,0.823,0.9,5.99,0.537,0.966,0.894,1.201,0.618,4.056,0.675
3,3,0.01,0.996,0.662,0.916,0.639,0.919,4.006,0.667,1.144,0.872,1.338,0.615,3.573,0.694
4,4,1.107,0.85,3.487,0.626,3.359,0.647,6.04,0.45,5.325,0.508,2.108,0.513,5.98,0.458
5,5,7.908,0.328,8.79,0.272,8.974,0.257,8.321,0.297,5.685,0.381,4.772,0.356,7.752,0.323
6,6,8.025,0.158,9.031,0.125,9.195,0.117,7.805,0.183,7.123,0.205,9.981,0.034,6.942,0.175
7,7,9.419,0.1,9.74,0.088,10.034,0.084,9.024,0.162,6.598,0.126,9.202,0.047,8.505,0.155
8,8,10.599,0.013,10.649,0.014,10.838,0.011,10.537,0.027,7.729,0.043,9.507,0.037,10.014,0.03
9,9,12.421,0.004,12.474,0.005,12.486,0.007,12.114,0.004,12.691,0.004,9.302,0.004,11.96,0.004
10,10,13.827,0.005,13.823,0.005,13.788,0.008,13.547,0.005,14.13,0.004,12.309,0.02,13.677,0.005
11,11,14.793,0.004,14.68,0.005,14.644,0.007,14.68,0.005,14.68,0.005,14.68,0.005,14.68,0.005
