,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.334625,0.2575,0.41175
1,1,0.485125,0.5875,0.330875,0.2765,0.38525
2,2,0.67125,0.750875,0.120125,0.1455,0.09475
3,3,0.795875,0.910625,0.1455,0.1495,0.1415
4,4,0.935375,0.97525,0.112875,0.141,0.08475
5,5,0.948875,0.980375,0.121875,0.15425,0.0895
6,6,0.9385,0.983125,0.18425,0.2035,0.165
7,7,0.933125,0.98075,0.19925,0.2105,0.188
8,8,0.952125,0.9865,0.210375,0.221,0.19975
9,9,0.931125,0.985875,0.23075,0.2315,0.23
10,10,0.9435,0.98725,0.23575,0.2365,0.235
11,11,0.94625,0.982875,0.24,0.24,0.24
