,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.390125,0.35475,0.4255
1,1,0.485125,0.5875,0.349125,0.2895,0.40875
2,2,0.67125,0.750875,0.8075,0.79775,0.81725
3,3,0.795875,0.910625,0.857125,0.863,0.85125
4,4,0.935375,0.97525,0.828125,0.787,0.86925
5,5,0.948875,0.980375,0.548875,0.5135,0.58425
6,6,0.9385,0.983125,0.3505,0.3445,0.3565
7,7,0.933125,0.98075,0.29775,0.29575,0.29975
8,8,0.952125,0.9865,0.26525,0.259,0.2715
9,9,0.931125,0.985875,0.237125,0.23625,0.238
10,10,0.9435,0.98725,0.239125,0.236,0.24225
11,11,0.94625,0.982875,0.24,0.24,0.24
