,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.247,0.2195,0.2745
1,1,0.485125,0.5875,0.247,0.226,0.268
2,2,0.67125,0.750875,0.126625,0.16525,0.088
3,3,0.795875,0.910625,0.123125,0.15525,0.091
4,4,0.935375,0.97525,0.115375,0.1475,0.08325
5,5,0.948875,0.980375,0.150125,0.174,0.12625
6,6,0.9385,0.983125,0.20475,0.21475,0.19475
7,7,0.933125,0.98075,0.2165,0.22275,0.21025
8,8,0.952125,0.9865,0.224125,0.22825,0.22
9,9,0.931125,0.985875,0.23625,0.23625,0.23625
10,10,0.9435,0.98725,0.237875,0.2385,0.23725
11,11,0.94625,0.982875,0.24,0.24,0.24
