,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545625,0.559875,0.27425,0.2635,0.285
1,1,0.485125,0.5875,0.26475,0.24775,0.28175
2,2,0.67125,0.750875,0.634125,0.64525,0.623
3,3,0.795875,0.910625,0.800375,0.755,0.84575
4,4,0.935375,0.97525,0.627625,0.58075,0.6745
5,5,0.948875,0.980375,0.405375,0.383,0.42775
6,6,0.9385,0.983125,0.2945,0.28825,0.30075
7,7,0.933125,0.98075,0.267375,0.26425,0.2705
8,8,0.952125,0.9865,0.252375,0.25,0.25475
9,9,0.931125,0.985875,0.237875,0.2365,0.23925
10,10,0.9435,0.98725,0.239125,0.23725,0.241
11,11,0.94625,0.982875,0.24,0.24,0.24
