,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.459,0.785,1.255,0.507,1.339,0.483,1.355,0.466,2.17,0.503,1.822,0.509,2.898,0.5,1.985,0.499
1,1,0.386,0.858,1.73,0.52,1.75,0.524,1.735,0.514,3.304,0.5,3.318,0.5,2.974,0.5,3.171,0.5
2,2,0.428,0.852,1.769,0.54,1.77,0.541,1.64,0.559,4.227,0.502,4.104,0.501,2.721,0.499,4.012,0.501
3,3,0.217,0.933,2.006,0.577,2.089,0.581,1.917,0.582,5.017,0.507,3.481,0.559,2.658,0.5,4.057,0.529
4,4,0.216,0.934,1.822,0.631,1.899,0.627,1.872,0.629,5.392,0.505,2.781,0.6,2.359,0.51,5.026,0.518
5,5,0.439,0.882,1.957,0.637,2.004,0.628,1.887,0.646,3.851,0.491,3.759,0.522,2.54,0.489,4.942,0.456
6,6,2.244,0.53,5.093,0.296,5.214,0.302,5.164,0.293,4.149,0.394,4.118,0.431,2.788,0.489,4.502,0.352
7,7,4.573,0.239,6.367,0.156,6.553,0.142,6.412,0.143,3.899,0.266,4.61,0.206,3.812,0.397,4.665,0.221
8,8,4.853,0.205,6.185,0.14,6.455,0.133,6.346,0.135,6.419,0.101,7.429,0.104,4.856,0.217,5.215,0.129
9,9,3.849,0.288,4.783,0.221,5.009,0.202,4.928,0.203,5.814,0.086,6.394,0.113,3.834,0.207,4.902,0.118
10,10,5.534,0.172,6.017,0.152,6.27,0.152,6.106,0.152,6.396,0.072,5.662,0.117,5.756,0.085,5.302,0.189
11,11,12.869,0.009,12.768,0.008,12.752,0.009,12.765,0.01,12.744,0.009,12.739,0.009,12.753,0.009,12.751,0.009
