,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.461,0.823,1.389,0.55,1.444,0.52,2.065,0.501,0.987,0.559,0.88,0.579,1.513,0.501,1.04,0.6
1,1,0.521,0.821,1.787,0.536,1.842,0.544,2.58,0.489,1.225,0.569,1.087,0.59,1.419,0.531,1.482,0.62
2,2,0.45,0.853,2.131,0.546,2.113,0.541,2.973,0.467,1.927,0.598,1.908,0.579,1.225,0.564,2.105,0.616
3,3,0.58,0.838,2.235,0.544,2.149,0.54,3.092,0.472,2.17,0.589,1.824,0.6,1.397,0.52,2.189,0.61
4,4,0.815,0.772,2.155,0.496,2.126,0.501,2.978,0.447,1.71,0.618,1.987,0.571,1.6,0.543,1.663,0.622
5,5,1.047,0.7,2.168,0.479,2.22,0.485,3.056,0.432,1.887,0.561,2.258,0.53,1.906,0.497,2.203,0.534
6,6,1.395,0.594,2.121,0.44,2.234,0.45,2.981,0.416,2.035,0.503,2.718,0.467,2.217,0.42,2.067,0.507
7,7,1.794,0.516,2.435,0.399,2.519,0.39,3.145,0.396,2.346,0.443,3.01,0.411,2.173,0.395,2.349,0.432
8,8,2.524,0.395,2.827,0.349,2.931,0.351,3.268,0.376,2.725,0.384,3.047,0.405,2.47,0.342,2.508,0.39
9,9,3.447,0.311,3.524,0.318,3.673,0.323,3.771,0.367,3.582,0.335,3.576,0.298,3.105,0.244,3.45,0.33
10,10,4.525,0.242,4.308,0.283,4.485,0.278,4.227,0.346,4.507,0.293,4.576,0.296,4.036,0.212,4.365,0.294
11,11,7.921,0.117,7.034,0.176,7.239,0.163,5.933,0.265,7.239,0.163,7.239,0.163,7.239,0.163,7.239,0.163
