,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.266,0.901,1.157,0.662,1.269,0.643,2.032,0.545,1.144,0.588,1.065,0.611,1.311,0.523,1.461,0.608
1,1,0.083,0.972,1.057,0.787,1.102,0.784,2.144,0.639,1.944,0.604,1.58,0.648,1.305,0.547,1.856,0.673
2,2,0.065,0.984,1.074,0.784,1.149,0.771,2.371,0.618,1.943,0.612,2.212,0.627,1.292,0.545,2.065,0.639
3,3,0.181,0.952,1.347,0.713,1.416,0.701,2.637,0.545,2.55,0.592,2.077,0.601,1.238,0.535,2.321,0.619
4,4,0.572,0.841,1.875,0.568,1.9,0.566,2.921,0.478,1.871,0.621,1.832,0.58,1.63,0.526,2.15,0.602
5,5,0.891,0.753,1.981,0.515,1.978,0.529,3.074,0.444,2.027,0.563,2.729,0.5,2.045,0.483,2.218,0.569
6,6,1.207,0.649,1.998,0.486,2.036,0.467,2.962,0.425,2.25,0.506,2.755,0.459,2.412,0.421,2.229,0.473
7,7,1.634,0.559,2.349,0.41,2.345,0.426,3.165,0.407,2.642,0.414,3.003,0.431,2.107,0.4,2.524,0.444
8,8,2.507,0.386,2.869,0.34,2.904,0.341,3.317,0.384,3.023,0.38,3.181,0.395,2.458,0.343,2.793,0.379
9,9,3.438,0.315,3.549,0.327,3.637,0.321,3.867,0.37,3.665,0.31,3.638,0.331,2.987,0.266,3.468,0.326
10,10,4.565,0.235,4.355,0.274,4.45,0.285,4.255,0.337,4.435,0.281,4.558,0.293,3.88,0.224,4.409,0.297
11,11,7.921,0.117,7.034,0.176,7.239,0.163,5.933,0.265,7.239,0.163,7.239,0.163,7.239,0.163,7.239,0.163
