,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,3.664,0.556,6.365,0.5,6.339,0.5,6.371,0.5,4.23,0.479,3.092,0.526,1.765,0.548,4.303,0.482
1,1,4.49,0.55,6.41,0.497,6.305,0.499,6.392,0.498,4.409,0.489,4.099,0.541,2.823,0.513,4.413,0.497
2,2,4.447,0.577,6.314,0.481,6.222,0.488,6.397,0.479,5.244,0.448,4.115,0.55,3.565,0.498,4.481,0.49
3,3,5.048,0.527,6.281,0.475,6.275,0.476,6.306,0.472,5.281,0.478,4.21,0.506,4.39,0.499,4.641,0.477
4,4,4.72,0.53,6.117,0.446,5.999,0.453,6.052,0.455,5.387,0.484,4.447,0.515,4.79,0.5,4.504,0.489
5,5,5.331,0.499,6.367,0.417,6.225,0.428,6.313,0.42,5.798,0.499,4.767,0.5,5.334,0.5,5.323,0.497
6,6,8.929,0.221,10.423,0.136,10.281,0.135,10.435,0.13,7.667,0.303,6.409,0.369,5.651,0.477,7.157,0.305
7,7,11.265,0.084,11.976,0.046,11.91,0.052,11.957,0.054,10.586,0.071,10.507,0.087,10.289,0.04,10.418,0.106
8,8,11.665,0.018,12.309,0.011,12.44,0.007,12.415,0.013,11.947,0.005,11.67,0.009,11.662,0.011,11.595,0.006
9,9,12.77,0.009,13.154,0.007,13.293,0.004,13.198,0.01,12.953,0.004,12.842,0.004,11.767,0.004,13.137,0.003
10,10,13.764,0.006,13.851,0.005,13.934,0.003,13.835,0.008,14.065,0.003,14.079,0.004,12.572,0.004,14.129,0.004
11,11,14.607,0.005,14.58,0.005,14.643,0.003,14.549,0.007,14.643,0.003,14.643,0.003,14.643,0.003,14.643,0.003
