,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.967,0.878,4.048,0.624,4.011,0.626,3.936,0.636,3.725,0.604,2.119,0.741,1.208,0.707,2.976,0.682
1,1,0.001,1.0,1.258,0.847,1.153,0.862,1.085,0.864,1.905,0.773,0.497,0.924,1.738,0.615,1.813,0.802
2,2,0.0,1.0,0.456,0.945,0.537,0.936,0.462,0.942,1.167,0.854,0.387,0.949,1.631,0.61,1.245,0.865
3,3,0.008,1.0,1.494,0.829,1.299,0.844,1.4,0.827,4.048,0.593,1.964,0.786,4.482,0.487,2.613,0.735
4,4,0.164,0.987,2.769,0.69,2.475,0.714,2.659,0.692,5.801,0.503,4.86,0.559,4.661,0.498,4.478,0.555
5,5,5.306,0.511,6.439,0.418,6.408,0.418,6.437,0.414,5.83,0.495,4.841,0.5,5.384,0.5,5.093,0.486
6,6,8.935,0.203,10.311,0.134,10.312,0.132,10.323,0.123,7.207,0.302,5.758,0.405,5.622,0.485,6.34,0.362
7,7,11.11,0.079,11.962,0.048,11.932,0.048,11.944,0.053,11.098,0.054,11.708,0.029,10.269,0.035,10.616,0.097
8,8,11.62,0.016,12.276,0.011,12.4,0.007,12.323,0.013,12.183,0.003,11.489,0.005,11.756,0.007,11.346,0.006
9,9,12.723,0.009,13.165,0.006,13.256,0.004,13.143,0.009,13.029,0.003,12.622,0.004,11.787,0.004,12.879,0.004
10,10,13.8,0.006,13.894,0.005,13.903,0.003,13.824,0.009,14.222,0.003,14.179,0.003,12.686,0.004,14.074,0.004
11,11,14.607,0.005,14.58,0.005,14.643,0.003,14.549,0.007,14.643,0.003,14.643,0.003,14.643,0.003,14.643,0.003
