,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.133,0.896,5.324,0.522,5.188,0.536,6.029,0.494,4.422,0.481,3.055,0.598,2.133,0.581,4.316,0.511
1,1,0.453,0.962,4.475,0.55,4.557,0.546,5.893,0.494,1.996,0.767,1.112,0.861,2.117,0.563,1.422,0.829
2,2,0.4,0.967,3.886,0.583,3.922,0.577,5.614,0.486,2.846,0.7,1.654,0.829,2.86,0.549,1.966,0.811
3,3,0.57,0.952,3.687,0.579,3.793,0.58,5.675,0.479,3.532,0.655,2.53,0.751,3.247,0.536,2.683,0.753
4,4,0.86,0.93,3.661,0.601,3.766,0.589,5.901,0.468,3.214,0.693,4.524,0.6,3.148,0.532,2.256,0.775
5,5,2.225,0.735,4.261,0.519,4.278,0.506,6.249,0.435,4.162,0.552,3.295,0.527,3.771,0.506,3.672,0.555
6,6,2.13,0.645,3.8,0.468,3.675,0.474,6.089,0.398,4.256,0.518,3.463,0.499,4.567,0.345,2.978,0.505
7,7,3.336,0.601,4.638,0.469,4.609,0.474,6.394,0.405,4.035,0.509,3.599,0.514,7.851,0.118,3.642,0.45
8,8,4.574,0.58,5.33,0.479,5.204,0.482,6.622,0.414,5.08,0.527,4.027,0.509,9.841,0.067,4.858,0.521
9,9,6.634,0.187,7.263,0.139,7.232,0.138,8.212,0.087,6.62,0.189,5.513,0.228,9.877,0.05,6.39,0.281
10,10,10.216,0.054,10.469,0.051,10.434,0.054,11.211,0.024,9.69,0.055,8.523,0.063,10.611,0.055,9.26,0.057
11,11,13.265,0.053,13.3,0.051,13.284,0.054,13.752,0.024,13.284,0.054,13.284,0.054,13.284,0.054,13.284,0.054
