,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.309,0.974,2.692,0.73,2.874,0.718,4.721,0.601,2.693,0.693,1.495,0.805,2.013,0.61,2.057,0.769
1,1,0.077,0.994,1.087,0.889,1.207,0.873,2.913,0.737,2.295,0.759,0.941,0.892,2.031,0.624,1.242,0.87
2,2,0.029,0.998,0.68,0.927,0.859,0.909,1.739,0.822,2.015,0.798,1.128,0.881,2.699,0.558,1.478,0.848
3,3,0.049,0.996,0.84,0.912,1.096,0.89,2.026,0.799,3.454,0.675,5.4,0.557,3.322,0.542,2.156,0.781
4,4,0.137,0.989,1.181,0.87,1.463,0.855,3.194,0.707,3.075,0.704,5.544,0.537,3.569,0.54,2.725,0.738
5,5,0.574,0.956,2.092,0.776,2.059,0.768,4.847,0.579,3.192,0.678,5.184,0.507,3.628,0.521,3.558,0.659
6,6,1.943,0.689,3.673,0.492,3.557,0.497,5.9,0.419,3.994,0.536,4.229,0.483,4.464,0.374,3.878,0.521
7,7,3.259,0.635,4.624,0.492,4.639,0.482,6.323,0.418,4.587,0.497,3.635,0.496,7.122,0.125,4.331,0.459
8,8,4.34,0.613,5.18,0.493,5.03,0.498,6.471,0.423,5.22,0.523,4.244,0.55,10.13,0.063,4.753,0.555
9,9,6.547,0.184,7.173,0.142,7.057,0.142,8.126,0.083,6.664,0.185,5.718,0.238,10.068,0.049,6.197,0.28
10,10,10.224,0.055,10.472,0.05,10.42,0.055,11.195,0.024,9.483,0.056,8.625,0.057,10.789,0.054,9.231,0.056
11,11,13.265,0.053,13.3,0.051,13.284,0.054,13.752,0.024,13.284,0.054,13.284,0.054,13.284,0.054,13.284,0.054
