,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.011,0.857,3.09,0.665,5.252,0.533,4.775,0.524,4.178,0.584,1.309,0.574,3.765,0.619
1,1,0.312,0.967,1.404,0.854,3.749,0.673,3.764,0.643,1.775,0.781,1.575,0.602,1.818,0.799
2,2,0.176,0.985,1.073,0.896,2.116,0.801,3.501,0.69,1.57,0.836,2.025,0.563,2.268,0.788
3,3,0.193,0.983,1.11,0.898,2.312,0.789,3.053,0.726,5.826,0.528,2.99,0.51,2.403,0.783
4,4,3.525,0.705,4.504,0.617,5.766,0.542,4.548,0.6,4.87,0.563,3.398,0.466,4.488,0.613
5,5,4.059,0.66,4.686,0.607,5.984,0.518,4.756,0.591,5.451,0.524,4.812,0.408,4.72,0.598
6,6,3.896,0.596,4.535,0.544,6.215,0.458,4.365,0.57,4.743,0.524,8.607,0.102,4.216,0.564
7,7,3.941,0.555,4.539,0.462,6.17,0.392,4.805,0.49,3.843,0.511,9.727,0.05,4.477,0.506
8,8,4.956,0.479,5.323,0.438,6.348,0.387,5.568,0.486,3.643,0.481,10.767,0.048,5.337,0.513
9,9,6.759,0.221,6.858,0.204,7.543,0.183,6.579,0.232,5.249,0.318,10.094,0.051,6.471,0.241
10,10,9.774,0.043,9.917,0.038,10.216,0.024,9.506,0.044,7.761,0.059,10.472,0.038,9.425,0.04
11,11,13.493,0.039,13.54,0.038,13.777,0.021,13.54,0.038,13.54,0.038,13.54,0.038,13.54,0.038
