,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,1,0.157,0.97,0.67,0.869,0.623,0.876,1.619,0.689,0.865,0.838,2.545,0.515,1.32,0.742
1,2,0.406,0.924,1.217,0.759,1.22,0.759,2.743,0.506,1.591,0.695,3.295,0.406,2.6,0.528
2,3,3.213,0.428,3.54,0.374,3.59,0.366,3.093,0.448,3.016,0.464,3.296,0.407,3.318,0.411
3,4,4.097,0.266,4.23,0.244,4.264,0.238,3.162,0.372,3.509,0.347,3.144,0.314,3.811,0.304
4,5,4.746,0.17,4.669,0.185,4.684,0.184,4.309,0.223,4.014,0.283,3.541,0.356,4.323,0.235
